# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      46.343      106.700     1997.449     7271.043
      46.455       96.300     1997.449     7271.043
      46.569       97.200     1997.449     7271.043
      46.683       97.400     1997.449     7271.043
      46.795      104.500     1997.449     7271.043
      46.910       97.100     1997.449     7271.043
      47.023      104.500     1997.449     7271.043
      47.138       96.900     1997.449     7271.043
      47.252      104.900     1997.449     7271.043
      47.366       98.300     1997.449     7271.043
      47.478       97.300     1997.449     7271.043
      47.591      104.600     1997.449     7271.043
      47.706       97.200     1997.449     7271.043
      47.819       95.600     1997.449     7271.043
      47.934       97.100     1997.449     7271.043
      48.047      104.700     1997.449     7271.043
      48.162       97.000     1997.449     7271.043
      48.275      104.400     1997.449     7271.043
      48.390       97.000     1997.449     7271.043
      48.504       97.300     1997.449     7271.043
      48.617       94.900     1997.449     7271.043
      48.733      114.000     1997.449     7271.043
      48.847       96.300     1997.449     7271.043
      48.961       96.500     1997.449     7271.043
      49.075      104.400     1997.449     7271.043
      49.190       97.100     1997.449     7271.043
      49.303       95.700     1997.449     7271.043
      49.418      107.700     1997.449     7271.043
      49.530       96.900     1997.449     7271.043
      49.643      104.700     1997.449     7271.043
      49.758       96.800     1997.449     7271.043
      49.871       95.700     1997.449     7271.043
      49.986       97.200     1997.449     7271.043
      50.099      113.100     1997.449     7271.043
      50.214       97.300     1997.449     7271.043
      50.327       96.500     1997.449     7271.043
      50.441       96.800     1997.449     7271.043
      50.555      106.000     1997.449     7271.043
      50.668       96.200     1997.449     7271.043
      50.782       97.800     2008.672     8860.367
      50.895      104.300     2022.078     8860.367
      51.010       97.200     2035.227     8860.367
      51.123      104.900     2048.633     8860.367
      51.237       97.200     2061.781     8860.367
      51.351       97.300     2075.188     8860.367
      51.464       95.900     2088.594     8860.367
      51.578       97.200     2101.742     8860.367
      51.691      104.500     2115.148     8860.367
      51.806      106.000     2128.297     8860.367
      51.919       96.100     2141.703     8860.367
      52.034       97.100     2154.852     8860.367
      52.147      104.400     2168.258     8860.367
      52.262       96.100     2181.664     8860.367
      52.377       96.500     2195.070     8860.367
      52.491      104.200     2208.477     8860.367
      52.606       97.100     2221.883     8860.367
      52.719      105.000     2235.031     8860.367
      52.833       96.700     2248.180     8860.367
      52.947      104.500     2261.844     8860.367
      53.062       97.100     2274.992     8860.367
      53.175      104.700     2288.398     8860.367
      53.290       97.200     2300.258     8860.367
      53.403      105.000     2308.766     8860.367
      53.517       96.800     2322.172     8860.367
      53.631       96.300     2335.320     8860.367
      53.745      105.600     2348.727     8860.367
      53.859       97.400     2361.875     8860.367
      53.972       96.500     2375.281     8860.367
      54.086       97.000     2388.430     8860.367
      54.199      104.500     2401.836     8860.367
      54.314       97.200     2414.984     8860.367
      54.427      104.400     2428.391     8860.367
      54.542      106.100     2441.539     8860.367
      54.655       95.700     2454.945     8860.367
      54.770       97.100     2468.352     8860.367
      54.883      104.700     2481.500     8860.367
      54.998       97.300     2494.906     8860.367
      55.111       97.700     2508.055     8860.367
      55.224      104.700     2521.461     8860.367
      55.338       88.800     2534.609     8860.367
      55.451      113.100     2548.016     8860.367
      55.566       89.100     2561.164     8860.367
      55.678      105.900     2574.312     8860.367
      55.791       97.300     2587.719     8860.367
      55.904      105.700     2600.867     8860.367
      56.018       88.100     2614.273     8860.367
      56.131      106.400     2627.422     8860.367
      56.244      105.500     2640.570     8860.367
      56.358       97.100     2653.977     8860.367
      56.471       97.500     2667.125     8860.367
      56.584      104.800     2680.531     8860.367
      56.699       88.600     2693.680     8860.367
      56.811      113.900     2706.828     8860.367
      56.926       96.800     2720.234     8860.367
      57.039       96.400     2733.641     8860.367
      57.153       96.800     2746.789     8860.367
      57.267      104.500     2760.195     8860.367
      57.382       97.000     2773.602     8860.367
      57.495      107.900     2786.492     8860.367
      57.606       98.100     2799.641     8860.367
      57.718       97.300     2812.789     8860.367
      57.831      104.600     2826.195     8860.367
      57.946       97.100     2839.344     8860.367
      58.059       96.400     2852.750     8860.367
      58.174      105.700     2866.156     8860.367
      58.287       95.700     2879.562     8860.367
      58.402       97.100     2892.711     8860.367
      58.515      105.100     2906.117     8860.367
      58.629       97.000     2919.266     8860.367
      58.743       95.500     2932.672     8860.367
      58.858      106.000     2945.820     8860.367
      58.971       95.300     2959.484     8860.367
      59.087      106.400     2972.633     8860.367
      59.199       96.400     2985.781     8860.367
      59.313      106.300     2999.188     8860.367
      59.426       88.400     3012.336     8860.367
      59.539      106.300     3025.484     8860.367
      59.652       97.300     3038.633     8860.367
      59.765      105.500     3052.039     8860.367
      59.879       97.000     3065.188     8860.367
      59.992      105.100     3078.594     8860.367
      60.107       88.700     3092.000     8860.367
      60.219      106.300     3105.148     8860.367
      60.332       97.400     3118.297     8860.367
      60.445      105.500     3131.703     8860.367
      60.559       96.300     3144.852     8860.367
      60.673       96.600     3158.000     8860.367
      60.787      104.300     3171.664     8860.367
      60.902       97.100     3184.812     8860.367
      61.015      104.800     3198.219     8860.367
      61.130       97.100     3211.625     8860.367
      61.243       99.300     3224.516     8860.367
      61.354       97.400     3237.664     8860.367
      61.467      112.900     3251.070     8860.367
      61.582       88.700     3264.219     8860.367
      61.695      105.000     3277.883     8860.367
      61.809       94.900     3291.289     8860.367
      61.925       96.500     3304.695     8860.367
      62.039      104.400     3318.102     8860.367
      62.154      106.000     3331.250     8860.367
      62.267       95.700     3344.656     8860.367
      62.382       97.600     3357.805     8860.367
      62.495       98.300     3370.953     8860.367
      62.607      107.100     3384.102     8860.367
      62.719       97.300     3397.250     8860.367
      62.832       95.900     3410.914     8860.367
      62.946       97.200     3423.805     8860.367
      63.059      113.300     3437.469     8860.367
      63.174       97.100     3450.617     8860.367
      63.287       95.900     3464.023     8860.367
      63.402      106.000     3477.172     8860.367
      63.515       95.800     3490.578     8860.367
      63.630       97.200     3503.727     8860.367
